emp_id,leave_quota,year
7175690919,23,2023
7175690919,26,2024
3345338467,24,2023
3345338467,28,2024
4047753983,26,2023
4047753983,24,2024
5551916669,22,2023
5551916669,21,2024
6533954001,28,2023
6533954001,30,2024
7170426383,27,2023
7170426383,23,2024
3755067549,27,2023
3755067549,20,2024
272449155,20,2023
272449155,28,2024
2903567372,28,2023
2903567372,28,2024
4397504229,20,2023
4397504229,28,2024
9377894070,26,2023
9377894070,27,2024
6334791929,20,2023
6334791929,23,2024
9154542239,23,2023
9154542239,26,2024
8596430592,29,2023
8596430592,21,2024
7471249507,20,2023
7471249507,26,2024
5730994309,27,2023
5730994309,26,2024
6437452470,24,2023
6437452470,23,2024
1260589765,30,2023
1260589765,25,2024
8030748387,28,2023
8030748387,22,2024
9055254830,24,2023
9055254830,24,2024
2984554854,30,2023
2984554854,30,2024
3236228992,22,2023
3236228992,22,2024
9160941120,28,2023
9160941120,21,2024
651976023,25,2023
651976023,22,2024
6931109672,21,2023
6931109672,22,2024
7680605986,26,2023
7680605986,20,2024
6727837063,21,2023
6727837063,24,2024
6579159683,24,2023
6579159683,26,2024
2405982913,24,2023
2405982913,20,2024
8286990704,29,2023
8286990704,24,2024
4291362193,26,2023
4291362193,24,2024
9623856554,22,2023
9623856554,20,2024
3989155927,28,2023
3989155927,30,2024
3717903494,22,2023
3717903494,30,2024
3368105384,21,2023
3368105384,23,2024
6040819948,21,2023
6040819948,27,2024
5269616968,23,2023
5269616968,23,2024
2217968608,21,2023
2217968608,26,2024
6619102777,20,2023
6619102777,20,2024
5509389110,26,2023
5509389110,26,2024
4952182341,23,2023
4952182341,23,2024
5568316074,22,2023
5568316074,25,2024
4690244875,23,2023
4690244875,25,2024
3586813442,25,2023
3586813442,28,2024
706688810,29,2023
706688810,29,2024
8681521572,20,2023
8681521572,25,2024
947362517,23,2023
947362517,21,2024
1356141858,27,2023
1356141858,25,2024
3160101780,22,2023
3160101780,26,2024
4530872653,25,2023
4530872653,27,2024
7331873479,29,2023
7331873479,25,2024
8014621935,27,2023
8014621935,25,2024
5033623298,25,2023
5033623298,23,2024
8022137890,22,2023
8022137890,24,2024
5468748102,26,2023
5468748102,25,2024
8328042768,30,2023
8328042768,24,2024
1879084428,29,2023
1879084428,24,2024
3395051769,26,2023
3395051769,26,2024
8780703098,24,2023
8780703098,27,2024
8523798777,26,2023
8523798777,24,2024
340795577,26,2023
340795577,23,2024
2739840182,21,2023
2739840182,29,2024
4257377124,20,2023
4257377124,22,2024
3286077338,25,2023
3286077338,25,2024
958054928,24,2023
958054928,25,2024
3628347399,27,2023
3628347399,21,2024
3142207832,28,2023
3142207832,20,2024
9565003571,27,2023
9565003571,26,2024
4212514506,28,2023
4212514506,28,2024
418265795,24,2023
418265795,20,2024
9370541061,29,2023
9370541061,30,2024
3258053685,20,2023
3258053685,27,2024
8398460587,20,2023
8398460587,28,2024
4445088938,21,2023
4445088938,28,2024
2403111388,28,2023
2403111388,28,2024
7003824458,23,2023
7003824458,29,2024
399792744,21,2023
399792744,24,2024
6718269003,25,2023
6718269003,25,2024
1833631347,20,2023
1833631347,25,2024
8404592655,30,2023
8404592655,21,2024
6354574136,30,2023
6354574136,21,2024
9758406428,27,2023
9758406428,26,2024
3538484067,24,2023
3538484067,22,2024
9551388512,20,2023
9551388512,24,2024
8059098264,30,2023
8059098264,29,2024
6501986647,23,2023
6501986647,30,2024
8056437886,22,2023
8056437886,29,2024
5561714221,24,2023
5561714221,20,2024
8414766367,22,2023
8414766367,30,2024
3855172373,27,2023
3855172373,23,2024
500754697,23,2023
500754697,29,2024
2596697421,30,2023
2596697421,30,2024
9242480471,28,2023
9242480471,23,2024
1832765242,21,2023
1832765242,23,2024
6850721299,30,2023
6850721299,30,2024
6073718578,23,2023
6073718578,29,2024
4895907082,20,2023
4895907082,29,2024
6095221976,28,2023
6095221976,23,2024
8553061368,21,2023
8553061368,28,2024
3978760856,28,2023
3978760856,23,2024
3896823280,30,2023
3896823280,25,2024
1324946267,23,2023
1324946267,23,2024
426702001,23,2023
426702001,20,2024
6782512354,23,2023
6782512354,20,2024
421948959,24,2023
421948959,29,2024
9270423823,23,2023
9270423823,22,2024
494077804,20,2023
494077804,23,2024
517231547,28,2023
517231547,30,2024
6162487259,24,2023
6162487259,29,2024
3570372981,22,2023
3570372981,25,2024
4279737813,28,2023
4279737813,27,2024
2625182319,26,2023
2625182319,26,2024
190552351,27,2023
190552351,26,2024
3043462354,29,2023
3043462354,20,2024
6472703464,22,2023
6472703464,26,2024
3415077283,24,2023
3415077283,22,2024
2565962501,25,2023
2565962501,30,2024
9730841533,23,2023
9730841533,20,2024
9978039905,21,2023
9978039905,28,2024
7048371932,24,2023
7048371932,25,2024
3919862995,30,2023
3919862995,25,2024
7645754035,26,2023
7645754035,27,2024
1214602773,23,2023
1214602773,22,2024
7520757933,26,2023
7520757933,30,2024
9019501413,28,2023
9019501413,29,2024
7184595180,26,2023
7184595180,20,2024
2142426477,30,2023
2142426477,20,2024
6075089356,22,2023
6075089356,20,2024
7094087809,29,2023
7094087809,21,2024
6357513897,28,2023
6357513897,30,2024
8083779558,30,2023
8083779558,27,2024
8760004262,20,2023
8760004262,20,2024
2675837561,30,2023
2675837561,20,2024
678451814,24,2023
678451814,25,2024
342757274,28,2023
342757274,21,2024
6764370949,29,2023
6764370949,25,2024
1439584951,27,2023
1439584951,29,2024
2775401126,29,2023
2775401126,28,2024
6873053877,30,2023
6873053877,24,2024
4744071048,30,2023
4744071048,25,2024
4948573720,21,2023
4948573720,23,2024
9268680661,21,2023
9268680661,27,2024
8598619713,21,2023
8598619713,20,2024
679692718,23,2023
679692718,22,2024
8136270147,29,2023
8136270147,28,2024
2771763561,25,2023
2771763561,29,2024
7383291965,23,2023
7383291965,21,2024
4369318343,28,2023
4369318343,28,2024
351738170,28,2023
351738170,27,2024
3638661206,21,2023
3638661206,22,2024
6380145998,30,2023
6380145998,30,2024
8812415820,22,2023
8812415820,25,2024
6164114068,21,2023
6164114068,24,2024
3020966442,21,2023
3020966442,28,2024
5552186615,25,2023
5552186615,30,2024
9582599275,28,2023
9582599275,24,2024
7424872698,30,2023
7424872698,22,2024
7501654684,28,2023
7501654684,30,2024
1899395813,26,2023
1899395813,29,2024
9230549419,25,2023
9230549419,30,2024
5718142830,20,2023
5718142830,21,2024
7841876249,20,2023
7841876249,20,2024
4021012971,22,2023
4021012971,20,2024
547052823,26,2023
547052823,28,2024
9893556520,22,2023
9893556520,30,2024
2258290808,30,2023
2258290808,22,2024
944783171,28,2023
944783171,21,2024
16342200,25,2023
16342200,28,2024
8912933553,21,2023
8912933553,23,2024
8957509497,22,2023
8957509497,29,2024
8567792456,26,2023
8567792456,20,2024
5526330794,30,2023
5526330794,23,2024
4561558798,22,2023
4561558798,29,2024
4987493297,26,2023
4987493297,27,2024
1113818282,26,2023
1113818282,26,2024
293198337,24,2023
293198337,22,2024
1799853812,20,2023
1799853812,28,2024
3717929903,27,2023
3717929903,25,2024
3375403399,29,2023
3375403399,23,2024
2706163251,25,2023
2706163251,30,2024
5570884596,21,2023
5570884596,27,2024
2374724383,24,2023
2374724383,29,2024
231305120,26,2023
231305120,26,2024
5810108043,30,2023
5810108043,26,2024
848435735,28,2023
848435735,22,2024
9056528856,27,2023
9056528856,28,2024
2740503231,25,2023
2740503231,25,2024
8648000536,27,2023
8648000536,24,2024
631932161,24,2023
631932161,24,2024
272476203,30,2023
272476203,22,2024
7617805790,27,2023
7617805790,24,2024
5654151946,21,2023
5654151946,20,2024
7172699928,30,2023
7172699928,26,2024
3129466091,26,2023
3129466091,22,2024
5689117745,28,2023
5689117745,30,2024
695668853,28,2023
695668853,29,2024
1832694341,28,2023
1832694341,24,2024
3192836903,30,2023
3192836903,23,2024
5450030172,20,2023
5450030172,29,2024
8224855309,20,2023
8224855309,25,2024
7191876865,25,2023
7191876865,26,2024
9013038435,26,2023
9013038435,27,2024
1104980884,25,2023
1104980884,30,2024
3765822495,24,2023
3765822495,23,2024
7473677869,27,2023
7473677869,27,2024
1779359423,25,2023
1779359423,23,2024
3644048941,30,2023
3644048941,20,2024
4412928758,24,2023
4412928758,21,2024
5760986515,24,2023
5760986515,27,2024
8597304329,20,2023
8597304329,21,2024
7906295792,24,2023
7906295792,29,2024
4415430833,21,2023
